url	ok	fail	streak_ok	streak_fail	last_status	adjustment	last_seen	last_name	last_source	last_error
http://1.190.240.47:9003/hls/2072/index.m3u8	2	0	2	0	ok	-22	2026-08-10	黑莓动画	zbds_iptv4_txt	
http://1.190.240.47:9003/hls/2073/index.m3u8	6	0	6	0	ok	-66	2026-08-10	优漫卡通	zbds_iptv4_txt	
http://1.190.240.47:9003/hls/2074/index.m3u8	3	0	3	0	ok	-33	2026-08-10	金鹰卡通	zbds_iptv4_txt	
http://1.190.240.47:9003/hls/3016/index.m3u8	2	0	2	0	ok	-22	2026-08-10	CCTV-16	zbds_iptv4_txt	
http://1.190.240.47:9003/hls/3017/index.m3u8	2	0	2	0	ok	-22	2026-08-10	CCTV-17	zbds_iptv4_txt	
http://1.190.240.47:9003/hls/3049/index.m3u8	1	0	1	0	ok	-11	2026-08-10	湖北卫视	zbds_iptv4_txt	
http://1.190.240.47:9003/hls/3057/index.m3u8	1	0	1	0	ok	-11	2026-08-10	广西卫视	zbds_iptv4_txt	
http://1.190.240.47:9003/hls/3061/index.m3u8	1	0	1	0	ok	-11	2026-08-10	四川卫视	zbds_iptv4_txt	
http://1.190.240.47:9003/hls/3064/index.m3u8	5	1	0	1	fail	40	2026-08-10	甘肃卫视	zbds_iptv4_txt	no segment
http://1.190.240.47:9003/hls/3066/index.m3u8	3	1	0	1	fail	46	2026-08-10	海南卫视	zbds_iptv4_txt	segments ok checked=3 required=video; manifest did not advance after 7.5s
http://1.190.240.47:9003/hls/3070/index.m3u8	5	1	0	1	fail	40	2026-08-10	西藏卫视	zbds_iptv4_txt	no segment
http://1.190.240.47:9003/hls/3075/index.m3u8	2	0	2	0	ok	-22	2026-08-10	金鹰卡通	zbds_iptv4_txt	
http://1.24.39.180:9003/hls/13/index.m3u8	10	0	10	0	ok	-90	2026-08-10	CCTV-13	zbds_iptv4_txt	
http://1.94.31.214/php/hebei.php?id=hbds	20	0	10	0	ok	-90	2026-08-17	河北都市	suxuang_ipv4	
http://1.94.31.214/php/hebei.php?id=hbgg	20	0	10	0	ok	-90	2026-08-17	河北公共	suxuang_ipv4	
http://1.94.31.214/php/hebei.php?id=hbys	20	0	10	0	ok	-90	2026-08-17	河北影视	suxuang_ipv4	
http://1.94.31.214/php/hebei.php?id=jjsh	20	0	10	0	ok	-90	2026-08-17	河北经济	suxuang_ipv4	
http://1.94.31.214/php/hebei.php?id=nmpd	20	0	10	0	ok	-90	2026-08-17	河北农民	suxuang_ipv4	
http://1.94.31.214/php/hebei.php?id=sekj	20	0	10	0	ok	-90	2026-08-17	河北少儿	suxuang_ipv4	
http://1.94.31.214/php/hntv.php?id=hmfz	20	0	10	0	ok	-90	2026-08-17	河南法治	suxuang_ipv4	
http://1.94.31.214/php/hntv.php?id=hnds	20	0	10	0	ok	-90	2026-08-17	河南都市	guovin_ipv4	
http://1.94.31.214/php/hntv.php?id=hndsj	20	0	10	0	ok	-90	2026-08-17	河南电视剧	suxuang_ipv4	
http://1.94.31.214/php/hntv.php?id=hngg	20	0	10	0	ok	-90	2026-08-17	河南公共	suxuang_ipv4	
http://1.94.31.214/php/hntv.php?id=hnly	20	0	10	0	ok	-90	2026-08-17	河南梨园	suxuang_ipv4	
http://1.94.31.214/php/hntv.php?id=hnws	20	0	10	0	ok	-90	2026-08-17	河南卫视	guovin_ipv4	
http://1.94.31.214/php/hntv.php?id=hnxc	19	1	0	1	fail	-2	2026-08-17	河南乡村	suxuang_ipv4	final slow retry failed attempt=1 first=variant fail variants_checked=1 segments ok checked=2 required=video; manifest did not advance after 3.0s; last=variant
http://1.94.31.214/php/hntv.php?id=hnxw	20	0	10	0	ok	-90	2026-08-17	河南新闻	suxuang_ipv4	
http://1.94.31.214/php/hntv.php?id=jczy	20	0	10	0	ok	-90	2026-08-10	睛彩中原	suxuang_ipv4	
http://1.94.31.214/php/hntv.php?id=wspd	20	0	10	0	ok	-90	2026-08-17	武术世界	suxuang_ipv4	
http://1.94.31.214/php/hntv.php?id=wwbk	20	0	10	0	ok	-90	2026-08-17	文物宝库	suxuang_ipv4	
http://1.94.31.214/php/hntv.php?id=xsj	31	2	23	0	ok	-90	2026-08-06T05:59:55+08:00	象视界	suxuang_ipv4	
http://101.6.130.52:1234/961930263	11	0	11	0	ok	-90	2026-07-19T18:30:55+08:00	快乐垂钓	iyouhun_zb	
http://101.66.194.210:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0	6	1	6	0	ok	-56	2026-08-09T05:09:31+08:00	山东卫视	zbds_iptv4_txt	
http://101.66.194.210:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0	7	0	7	0	ok	-77	2026-08-09T05:09:31+08:00	东南卫视	zbds_iptv4_txt	
http://101.66.195.96:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0	2	0	2	0	ok	-22	2026-08-17	云南卫视	zbds_iptv4_txt	
http://101.66.195.96:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0	2	1	0	1	fail	49	2026-08-17	四川卫视	zbds_iptv4_txt	segment bad 200 application/octet-stream; charset=utf-8 bytes=32768 checked=2 unknown/mpeg-ts: TS packets found but PAT/PMT video track not observed
http://101.66.195.96:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0	3	0	3	0	ok	-33	2026-08-17	金鹰卡通	zbds_iptv4_txt	
http://101.66.195.96:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0	4	0	4	0	ok	-44	2026-08-17	浙江新闻	zbds_iptv4_txt	
